"GO ID";"m";"stat";"p"
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000002"";""GO:0000002"")";2165;143,369008636869;0,3208
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000012"";""GO:0000012"")";1885;107,381097317549;0,3577
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000027"";""GO:0000027"")";1867;72,7753059926146;0,5031
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000028"";""GO:0000028"")";861;71,4345390324037;0,2242
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000038"";""GO:0000038"")";2397;63,5881785292983;0,6599
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000045"";""GO:0000045"")";8223;749,3620502375;0,2368
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000050"";""GO:0000050"")";1050;42,6019939806521;0,4407
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000070"";""GO:0000070"")";3519;334,317745473407;0,217
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000076"";""GO:0000076"")";1077;120,711598893135;0,1731
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000077"";""GO:0000077"")";5192;286,162146863128;0,4426
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000079"";""GO:0000079"")";5164;1006,02826041564;0,0754
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000082"";""GO:0000082"")";10131;1211,88241546964;0,1568
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000083"";""GO:0000083"")";2666;291,734168149227;0,1748
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000086"";""GO:0000086"")";10937;912,745209222525;0,2737
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000122"";""GO:0000122"")";138427;18418,8579965441;0,0884
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000132"";""GO:0000132"")";6403;196,610249379404;0,756
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000165"";""GO:0000165"")";18114;2765,51229513218;0,0782
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000184"";""GO:0000184"")";4564;672,198018158299;0,103
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000209"";""GO:0000209"")";35853;4588,66232058283;0,1044
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000226"";""GO:0000226"")";29078;2979,30896495556;0,1997
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000244"";""GO:0000244"")";1672;113,289903906952;0,2944
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000245"";""GO:0000245"")";2607;134,549239937066;0,4151
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000266"";""GO:0000266"")";6034;623,844506771167;0,1964
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000278"";""GO:0000278"")";22925;1387,29937994075;0,5045
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000281"";""GO:0000281"")";8552;222,945694523682;0,8519
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000289"";""GO:0000289"")";3184;598,552808092314;0,067
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000290"";""GO:0000290"")";1199;61,1849973342704;0,37
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000302"";""GO:0000302"")";1422;75,0973276806563;0,3781
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000338"";""GO:0000338"")";740;28,2333191299689;0,4356
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000353"";""GO:0000353"")";250;9,2155612244898;0,3653
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000375"";""GO:0000375"")";2257;205,998560281274;0,2248
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000379"";""GO:0000379"")";435;236,582281641854;0,0215
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000380"";""GO:0000380"")";3375;214,583827836771;0,3632
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000381"";""GO:0000381"")";14101;831,97828873329;0,4981
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000387"";""GO:0000387"")";2058;44,7486260534294;0,7062
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000395"";""GO:0000395"")";1142;99,3267336836512;0,2235
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000398"";""GO:0000398"")";19054;1243,49916624251;0,4517
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000413"";""GO:0000413"")";3526;247,753280445662;0,3117
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000422"";""GO:0000422"")";8726;1165,14215065754;0,1234
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000423"";""GO:0000423"")";4894;635,069967926922;0,1331
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000447"";""GO:0000447"")";1069;14,0952930056711;0,7551
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000460"";""GO:0000460"")";1634;85,9796547273109;0,3833
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000462"";""GO:0000462"")";2668;425,382632791011;0,0991
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000463"";""GO:0000463"")";1420;185,240137610111;0,1389
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000470"";""GO:0000470"")";1049;53,3539192038276;0,3685
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000492"";""GO:0000492"")";938;87,4257116775142;0,2048
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000710"";""GO:0000710"")";558;462,704693060687;0,0094
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000712"";""GO:0000712"")";2284;213,078546754444;0,2182
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000722"";""GO:0000722"")";2017;93,905016174631;0,4311
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000723"";""GO:0000723"")";6156;256,216675914934;0,5975
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000724"";""GO:0000724"")";14319;1058,85462207935;0,3477
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000727"";""GO:0000727"")";1164;455,154862417457;0,0297
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000731"";""GO:0000731"")";1592;52,3531543056795;0,5474
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000737"";""GO:0000737"")";734;49,5878810835629;0,2802
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0000902"";""GO:0000902"")";21043;1368,07583287784;0,4548
