"Pathway ID";"m";"stat";"p"
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-109582"";""R-HSA-109582"")";120776;10847,5089710145;0,2645
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-114608"";""R-HSA-114608"")";19341;2344,26369558052;0,1387
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-168249"";""R-HSA-168249"")";150319;13399,0551405587;0,2818
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-168256"";""R-HSA-168256"")";287077;28359,8502790846;0,1829
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6798695"";""R-HSA-6798695"")";65823;6344,79560781661;0,229
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-76002"";""R-HSA-76002"")";53950;5602,85094098188;0,1819
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-76005"";""R-HSA-76005"")";22024;2517,98223799023;0,1608
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1430728"";""R-HSA-1430728"")";324738;31473,8202841932;0,2192
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-156580"";""R-HSA-156580"")";11674;729,370871544456;0,4686
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-156582"";""R-HSA-156582"")";237;20,9005190311419;0,2176
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-211859"";""R-HSA-211859"")";24218;1645,74458825905;0,4498
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-15869"";""R-HSA-15869"")";13782;1158,47503445847;0,2936
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-74217"";""R-HSA-74217"")";1942;242,675138765327;0,1497
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8956321"";""R-HSA-8956321"")";2823;493,711032670476;0,0848
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1266738"";""R-HSA-1266738"")";202115;21231,7920274724;0,1444
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1500931"";""R-HSA-1500931"")";44983;2764,69119979803;0,6121
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-381426"";""R-HSA-381426"")";18583;2849,83422838412;0,0767
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-392499"";""R-HSA-392499"")";313284;28439,1028953257;0,239
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-418990"";""R-HSA-418990"")";20642;717,645658576474;0,886
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-421270"";""R-HSA-421270"")";26678;1336,19949481771;0,6986
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-446728"";""R-HSA-446728"")";31266;1717,96240558144;0,6562
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-525793"";""R-HSA-525793"")";11106;1027,47344082974;0,246
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-597592"";""R-HSA-597592"")";250654;23556,1092218875;0,2027
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8957275"";""R-HSA-8957275"")";16223;2722,47891369922;0,0658
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-109581"";""R-HSA-109581"")";29102;3490,03057866347;0,1415
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-109606"";""R-HSA-109606"")";8866;910,765674238081;0,2067
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-111447"";""R-HSA-111447"")";2821;332,286282674884;0,1527
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-114452"";""R-HSA-114452"")";5233;440,796324221678;0,2715
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1227986"";""R-HSA-1227986"")";17516;1389,49383513187;0,3378
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1257604"";""R-HSA-1257604"")";51376;7235,61271985485;0,0599
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1280215"";""R-HSA-1280215"")";93874;9942,98228545499;0,1565
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1280218"";""R-HSA-1280218"")";122661;12734,5710052524;0,1446
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1358803"";""R-HSA-1358803"")";2158;227,083442287772;0,1913
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-162582"";""R-HSA-162582"")";494669;51039,0733676765;0,1349
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1640170"";""R-HSA-1640170"")";95536;9814,39937435921;0,1778
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1643685"";""R-HSA-1643685"")";287134;31513,8137964318;0,1451
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-186712"";""R-HSA-186712"")";7456;1083,7170335836;0,1151
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-194138"";""R-HSA-194138"")";26930;3093,67309014531;0,1597
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-198323"";""R-HSA-198323"")";2765;130,747791100543;0,472
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-198693"";""R-HSA-198693"")";1742;134,724930873949;0,2807
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-199418"";""R-HSA-199418"")";26278;2925,71230032928;0,1669
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-199991"";""R-HSA-199991"")";118779;9357,94798501933;0,3998
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-210745"";""R-HSA-210745"")";2831;564,888380122202;0,0707
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-211163"";""R-HSA-211163"")";1170;119,409150694922;0,1981
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-212436"";""R-HSA-212436"")";183405;18170,3879040282;0,17
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2219528"";""R-HSA-2219528"")";25198;2351,57248345254;0,2624
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-3700989"";""R-HSA-3700989"")";51811;5729,96684943143;0,1629
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-372790"";""R-HSA-372790"")";129764;10809,9716771608;0,3334
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-388396"";""R-HSA-388396"")";121689;10219,3802531919;0,3145
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-388841"";""R-HSA-388841"")";11427;1574,19505280834;0,1294
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-389356"";""R-HSA-389356"")";7000;758,821146417456;0,1806
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-389357"";""R-HSA-389357"")";4346;609,266880877582;0,1169
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-389513"";""R-HSA-389513"")";4405;317,864567119028;0,3331
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-392451"";""R-HSA-392451"")";4516;468,676778253468;0,1973
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-397795"";""R-HSA-397795"")";7166;541,317083786187;0,3417
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-4420097"";""R-HSA-4420097"")";25090;2650,41882891353;0,193
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-453279"";""R-HSA-453279"")";18820;3045,35562807539;0,0665
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5218920"";""R-HSA-5218920"")";6120;617,716096400121;0,2116
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5357801"";""R-HSA-5357801"")";32475;3742,25863731273;0,1479
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5628897"";""R-HSA-5628897"")";13298;1187,24825228539;0,2668
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5633007"";""R-HSA-5633007"")";25175;3539,50746949091;0,0855
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5653656"";""R-HSA-5653656"")";125047;9981,18642761426;0,3606
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5663202"";""R-HSA-5663202"")";86158;10862,2245786663;0,0718
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5674400"";""R-HSA-5674400"")";5083;427,988363551535;0,2714
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6804757"";""R-HSA-6804757"")";5639;1414,17349877809;0,051
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6804758"";""R-HSA-6804758"")";4589;607,501959259862;0,1354
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6804759"";""R-HSA-6804759"")";3633;786,692079528251;0,0583
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6806003"";""R-HSA-6806003"")";5693;1414,17349877809;0,0488
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6807070"";""R-HSA-6807070"")";22482;4186,27824676337;0,0504
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69202"";""R-HSA-69202"")";9678;1156,1583308282;0,16
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69206"";""R-HSA-69206"")";14647;1548,26646720721;0,207
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69242"";""R-HSA-69242"")";20832;3021,05983919928;0,0891
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69278"";""R-HSA-69278"")";76870;8336,33402166424;0,1498
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-69656"";""R-HSA-69656"")";9836;1164,18610860598;0,1564
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-73857"";""R-HSA-73857"")";198695;19544,6490406096;0,1804
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-74160"";""R-HSA-74160"")";221350;21979,854493905;0,1743
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8863795"";""R-HSA-8863795"")";11167;913,486018047464;0,3063
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8876198"";""R-HSA-8876198"")";19680;1532,89955977295;0,3498
