"Protein ID";"m";"stat";"p"
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000000412"";""ENSP00000000412"")";22;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000001008"";""ENSP00000001008"")";55;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000001146"";""ENSP00000001146"")";83;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000005178"";""ENSP00000005178"")";85;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000005257"";""ENSP00000005257"")";237;8,2004132231405;0,3832
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000005284"";""ENSP00000005284"")";358;8,07076446280992;0,4938
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000006015"";""ENSP00000006015"")";43;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000006053"";""ENSP00000006053"")";107;8,16326530612245;0,2301
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000007390"";""ENSP00000007390"")";57;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000007735"";""ENSP00000007735"")";35;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000008391"";""ENSP00000008391"")";129;19,3655978830804;0,126
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000008938"";""ENSP00000008938"")";46;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000011473"";""ENSP00000011473"")";125;8,37950138504155;0,2439
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000013222"";""ENSP00000013222"")";66;9;0,1412
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000014914"";""ENSP00000014914"")";126;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000016913"";""ENSP00000016913"")";58;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000020926"";""ENSP00000020926"")";148;7,66863905325444;0,3063
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000025301"";""ENSP00000025301"")";167;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000037243"";""ENSP00000037243"")";102;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000037869"";""ENSP00000037869"")";53;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000040584"";""ENSP00000040584"")";37;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000046087"";""ENSP00000046087"")";360;9,4864;0,4559
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000053468"";""ENSP00000053468"")";56;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000056233"";""ENSP00000056233"")";109;6,69896193771626;0,3247
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000061240"";""ENSP00000061240"")";424;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000064571"";""ENSP00000064571"")";97;7,11111111111111;0,2757
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000075503"";""ENSP00000075503"")";227;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000078429"";""ENSP00000078429"")";203;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000084798"";""ENSP00000084798"")";102;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000085068"";""ENSP00000085068"")";101;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000086933"";""ENSP00000086933"")";93;15,21;0,1239
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000157812"";""ENSP00000157812"")";57;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000159060"";""ENSP00000159060"")";257;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000162391"";""ENSP00000162391"")";127;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000162749"";""ENSP00000162749"")";48;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000165524"";""ENSP00000165524"")";69;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000167586"";""ENSP00000167586"")";38;7,91015625;0,1169
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000167588"";""ENSP00000167588"")";15;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000170150"";""ENSP00000170150"")";43;37,691215057715;0,017
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000170564"";""ENSP00000170564"")";263;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000172229"";""ENSP00000172229"")";173;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000173229"";""ENSP00000173229"")";711;37,9267101407942;0,335
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000175091"";""ENSP00000175091"")";76;6,85207612456747;0,2534
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000176183"";""ENSP00000176183"")";72;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000176195"";""ENSP00000176195"")";70;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000177694"";""ENSP00000177694"")";27;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000179259"";""ENSP00000179259"")";150;274,518072452775;0,0029
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000180166"";""ENSP00000180166"")";82;14,5931182894165;0,1241
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000182527"";""ENSP00000182527"")";299;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000184266"";""ENSP00000184266"")";64;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000187762"";""ENSP00000187762"")";65;7,36734693877551;0,1985
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000190165"";""ENSP00000190165"")";90;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000194130"";""ENSP00000194130"")";146;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000194152"";""ENSP00000194152"")";81;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000194155"";""ENSP00000194155"")";75;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000196489"";""ENSP00000196489"")";102;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000199280"";""ENSP00000199280"")";47;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000199708"";""ENSP00000199708"")";44;55,9200477903792;0,0084
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000199764"";""ENSP00000199764"")";60;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000200135"";""ENSP00000200135"")";94;27,4939176464411;0,0646
